codigo_postal,colonias,latitud,longitud,estado,municipio,sub_estado_fisico,subindice_salud,pob_sin_diabetes,pob_sin_hipertension,pob_sin_enf_respiratorias,pob_sin_infecciones_resp_tb,pob_sin_enf_cardiovasculares,poblacion_sensible,poblacion_total,pob_no_fumadores,subindice_aire,dias_aire_limpio_pm25,concentracion_alta_pm25,dias_aire_limpio_ozono,concentracion_alta_ozono,indice_infraestructura_sanitaria,proximidad_infraestructura_medica,pob_derechohabiente,subindice_socioeconomico,anos_escolaridad,viviendas_computadora,viviendas_lavadora,viviendas_refrigerador,indice_desarrollo,indice_prioridad_sensible,indice_resumen,subindice_cambio_climatico,indice_frescura,seguridad_inundaciones,categoria_riesgo
01000,Sin colonia relacionada,19.3460897852683,-99.1932256307925,CIUDAD DE MEXICO,ALVARO OBREGON,0.822258660654503,0.690547920919691,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.264230001597738,3904,0.802828678314082,0.077391869040974,0.0020886911630528,0.262204497873134,0.119357794647142,0.548802635298787,0.579934823315743,0.426578929208579,0.788422437831694,0.896916466025081,0.906609259002862,0.827082046418731,0.88258250535863,0.977876321134578,0.401511109064117,0.158138720608217,0.158138720608217,0.542187011265407,0.71659228037873,0.410228749644845,alto
01010,Los Alpes,19.3605019150234,-99.1940685403522,CIUDAD DE MEXICO,ALVARO OBREGON,0.821041332427184,0.685731363995577,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.272931062921289,3910,0.800453312451605,0.0773122518661404,0.0021643422106094,0.256184200382966,0.116678855256169,0.552233643360213,0.57272086677675,0.38534561460373,0.851207795834969,0.945003038308112,0.974575804124254,0.872988483928136,0.946363698780755,0.990491166368866,0.388436752683563,0.16691460713367,0.16691460713367,0.454407737201803,0.718023433711506,0.287576117901226,alto
01020,Guadalupe Inn,19.3568215762973,-99.1871838550094,CIUDAD DE MEXICO,ALVARO OBREGON,0.821821621992884,0.702916114871512,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.29489273913661,4077,0.801975482250197,0.0701795906917765,0.0015785938999447,0.255510926713894,0.109264910210029,0.550405434414042,0.601214486603444,0.431731884506398,0.837229938009097,0.955257408534473,0.991709126023596,0.902659135675747,0.938182489814086,0.991485217498304,0.358370141904167,0.189211986365715,0.189211986365715,0.350019732999068,0.713789941854781,0.171638469954322,alto
01030,"Axotla, Florida",19.3573858021815,-99.1791996058984,CIUDAD DE MEXICO,ALVARO OBREGON,0.822040824630769,0.699241174529333,0.882205583216843,0.82810179575899,0.927730530588016,0.686060114293017,0.91100865768117,0.283367030243176,8613,0.802407098251892,0.0656697780260108,0.0012761272354319,0.253741909038762,0.104345359030359,0.550430987054805,0.59478581295129,0.434705023853187,0.813816597177414,0.951452432973311,0.965310914988949,0.894662434622518,0.954739327734715,0.993887187982916,0.335071627820731,0.188418778148869,0.188418778148869,0.288516728553967,0.701593375508553,0.118646933624687,medio
01040,Campestre,19.3557518368332,-99.1921791791923,CIUDAD DE MEXICO,ALVARO OBREGON,0.82335730583201,0.690711398751751,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.303817664575667,1455,0.804975479917221,0.0779448918280371,0.0022061695308113,0.258275706019801,0.117568900951838,0.550979875548275,0.579435237880721,0.436678807487184,0.768860748772979,0.93102922991745,0.929160289231039,0.865940192256638,0.944717532937595,0.988491070038747,0.380977905490044,0.188069847074753,0.188069847074753,0.420292423847824,0.71045548617043,0.248637282676291,alto
01049,Tlacopac,19.3536570041279,-99.1967370703036,CIUDAD DE MEXICO,ALVARO OBREGON,0.823388089750612,0.687810674705922,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.305003031673491,1160,0.805035674349751,0.078195632585296,0.0022282511320534,0.258398416145893,0.117854218024469,0.55097370852441,0.574557162203673,0.430878321337827,0.766146534396455,0.930839026104305,0.927485966914005,0.865233039121578,0.946183242712114,0.988741215706058,0.381541199205143,0.188631809207583,0.188631809207583,0.423291716125252,0.710265491499221,0.252266059782882,alto
01050,Ex-Hacienda de Guadalupe Chimalistac,19.3496757788295,-99.1824746076212,CIUDAD DE MEXICO,ALVARO OBREGON,0.82201098031357,0.719445883092768,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.269959257709014,1005,0.802345095854471,0.0671725247824669,0.0012794982725595,0.258936371229412,0.112128665415869,0.548046330827073,0.629678180821484,0.515038276467122,0.769835232678992,0.958011934180809,0.994405849973451,0.918131099587979,0.931938166173652,0.989984078257216,0.384195637306424,0.16624208864673,0.16624208864673,0.470596824881321,0.705822190679421,0.31376368512189,alto
01060,"Altavista, San Ángel Inn",19.3490470337374,-99.1977888671787,CIUDAD DE MEXICO,ALVARO OBREGON,0.822883046874632,0.721437238263475,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.289744553669518,1650,0.80404840517318,0.079546383683003,0.0023133069006464,0.261680610797228,0.120301320453622,0.54980232258076,0.632497765909772,0.491244026861231,0.814368016720663,0.942549015120814,0.937846100965587,0.891409353801544,0.953393482045023,0.990227158147651,0.414899672032025,0.16952963337897,0.16952963337897,0.547834559912672,0.717792842775184,0.418118831993858,alto
01070,Chimalistac,19.3445716924518,-99.1864776409252,CIUDAD DE MEXICO,ALVARO OBREGON,0.821906507865825,0.725324213141407,0.882218365214647,0.828014122934578,0.927730530588016,0.686060114293017,0.91100865768117,0.268333223573958,1378,0.802159563809679,0.0674897123405821,0.0012988272608509,0.259148774132056,0.112476135800244,0.548011114393907,0.640091311036419,0.533461718798039,0.768034278799741,0.953953615504362,0.990170016743086,0.911748526134546,0.928618357755691,0.987840726248486,0.384639177038406,0.165121753286408,0.165121753286408,0.468723854299723,0.706192387318803,0.311107929701324,alto
01080,Progreso Tizapan,19.3398499607701,-99.2049029220974,CIUDAD DE MEXICO,ALVARO OBREGON,0.820850519789561,0.586477249677826,0.882745181118683,0.827408976546598,0.927730530588016,0.686060114293017,0.91100865768117,0.260375224999514,7255,0.800121118546856,0.0857051121774853,0.0029330947625334,0.265915302541774,0.125743044659792,0.550140368775888,0.419023386228526,0.22523542671534,0.7795425469561,0.836292724701797,0.825435487512625,0.695373389573962,0.875636878089087,0.973213281808849,0.354710711022012,0.16801734380742,0.16801734380742,0.376600589212739,0.729254338062487,0.194483592887767,alto
01089,Ermita Tizapan,19.3375254185697,-99.2031715301795,CIUDAD DE MEXICO,ALVARO OBREGON,0.820529841391335,0.572664099948694,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.273478396848197,1110,0.799456292822034,0.0867021458634357,0.0030539988728697,0.268473559884419,0.125561909299641,0.548897282186625,0.399673667948466,0.200609631508953,0.796268053781112,0.867638619093375,0.849266364305243,0.736622343657571,0.920190725854165,0.984439053155311,0.383433578203738,0.168617596583271,0.168617596583271,0.501755209947754,0.728901152901537,0.345394282486097,alto
01090,"La Otra Banda, Loreto, Tizapan",19.3372812035336,-99.1987184033503,CIUDAD DE MEXICO,ALVARO OBREGON,0.821048733531391,0.567965679198187,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.25220596588405,9777,0.800467743552321,0.0811354321964108,0.0024244455497769,0.265670748979602,0.122715858724959,0.548258470266226,0.392893868016331,0.188992247738117,0.816782663692829,0.897738311541528,0.901195336920792,0.798552954319334,0.915592213831679,0.985767033253214,0.379377751095662,0.15652463373405,0.15652463373405,0.500731628876994,0.727225565342901,0.344779083831552,alto
01100,Pólvora,19.3926651121608,-99.2050517227941,CIUDAD DE MEXICO,ALVARO OBREGON,0.819929729406571,0.613063427501831,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.252579063613742,912,0.798287321662505,0.0864741736810634,0.0028694491206101,0.246429078935319,0.139927596350201,0.565134507798806,0.458388996837953,0.284273236752696,0.739149681561124,0.722142870319323,0.688679711361494,0.533698353041605,0.797882660307854,0.927342860944394,0.370835722946332,0.158913723957432,0.158913723957432,0.493982195945806,0.723029228254519,0.337494530477739,alto
01109,La Conchita,19.3914960055685,-99.2078007080384,CIUDAD DE MEXICO,ALVARO OBREGON,0.81971811134466,0.622878373671664,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.263290173781314,3062,0.797875310218789,0.0898310973472023,0.0032093304535426,0.2480175609774,0.144610659275274,0.565730566168589,0.4733059609375,0.287301247307735,0.779733936967628,0.72259372174098,0.700666884285809,0.546720732150194,0.786970107868516,0.904360039400945,0.401367902459469,0.157613948992519,0.157613948992519,0.641869019008623,0.723652958072814,0.569327925723254,alto
01110,"Belém de las Flores, El Capulín, Ampliación El Capulín, Liberales de 1857",19.3949771994224,-99.2177792243609,CIUDAD DE MEXICO,ALVARO OBREGON,0.819644701778275,0.551478202206948,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.252129697874422,12376,0.797732409733711,0.0911994032640189,0.0033544745282727,0.248940843776231,0.146285290968623,0.56630014269606,0.371048829876629,0.180162432906203,0.764183919654844,0.758129211857247,0.717792479849372,0.567240410333245,0.853996975948234,0.950058886551271,0.36253015939882,0.160725078314832,0.160725078314832,0.453015424303535,0.718464347380802,0.285641139195093,alto
01120,"Acueducto, Cove, Hidalgo, Las Américas",19.4002520114175,-99.2015326196574,CIUDAD DE MEXICO,ALVARO OBREGON,0.820410945075471,0.650623402814612,0.882209417533625,0.828111554566075,0.927730530588016,0.686060114293017,0.91100865768117,0.262666716095241,9593,0.799225771626603,0.0862847931701408,0.0027960745840886,0.244974225716762,0.142769384865868,0.566803881671921,0.515974116180426,0.345764710728251,0.769972412764271,0.786088890662228,0.783248861042934,0.607915248502539,0.847733410540922,0.945985600889542,0.377910985973189,0.163402078433348,0.163402078433348,0.462192045466945,0.721475688706327,0.296089653798262,alto
01125,Ampliación Acueducto,19.396992108979,-99.2066562926236,CIUDAD DE MEXICO,ALVARO OBREGON,0.82005987948267,0.567300282889668,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.254049642976174,397,0.798540771190926,0.0870876219368715,0.002930242613572,0.246713270496957,0.140765382918494,0.565241148470367,0.392446477408115,0.204414776400419,0.7534398458962,0.709344829749005,0.684043118113182,0.504282067441672,0.802509991543537,0.914581009837096,0.327711869991322,0.170794559405824,0.170794559405824,0.329110584101901,0.723975578381622,0.149609710330312,medio
01130,"Paraíso, Molino de Santo Domingo, Real del Monte",19.3940825282811,-99.2060680420386,CIUDAD DE MEXICO,ALVARO OBREGON,0.81965765612481,0.607518315405336,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.257297286122513,14883,0.797757625985875,0.0881459567044236,0.003034489554859,0.247251669990667,0.142297993073669,0.565439218678838,0.450283726132532,0.269303339541978,0.752888673288036,0.739813865913995,0.72361282914538,0.549271473343761,0.816029983640319,0.923613874777751,0.338424765519977,0.170221512397575,0.170221512397575,0.331103909415145,0.725520435446622,0.151105046079792,medio
01139,Reacomodo Pino Suárez,19.3958634083253,-99.2038417319191,CIUDAD DE MEXICO,ALVARO OBREGON,0.820061808486758,0.567256810176136,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.254033771106942,382,0.798544527965916,0.0870808011208816,0.0029295694964321,0.24670998553168,0.140755803211405,0.565239913103187,0.392385409686349,0.204342736774422,0.753470919324578,0.70931520768024,0.684,0.504310344827586,0.802442528735632,0.914511494252874,0.32774123147144,0.170776430129019,0.170776430129019,0.329293318965278,0.723974491639951,0.149776119417609,medio
01140,"Bellavista, José Maria Pino Suárez",19.3965014746002,-99.1952547804608,CIUDAD DE MEXICO,ALVARO OBREGON,0.819516067430597,0.595307569479739,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.250034921257668,13902,0.79748203847966,0.0832975749010265,0.0025588198363043,0.244866416927547,0.136044347053226,0.564780892041457,0.432439480278874,0.252147075536129,0.741646135321001,0.716048279625577,0.711329703067231,0.514493707675679,0.782572474906675,0.91789634892682,0.349251293010176,0.16270990171073,0.16270990171073,0.419021225343413,0.718711160609386,0.244296731303608,alto
01150,"Cristo Rey, Tolteca",19.3896528151341,-99.2019914338527,CIUDAD DE MEXICO,ALVARO OBREGON,0.820534231349756,0.669727263702488,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.256800983337951,13942,0.799464847268434,0.0859468786856991,0.0028395573228214,0.247223961685616,0.137788567133255,0.564112925362394,0.546637288987439,0.386430761361713,0.773262264780824,0.778002804940472,0.751720256194053,0.597769285835362,0.849930156729915,0.959293633847541,0.415303864699781,0.150150542498996,0.150150542498996,0.664285296085542,0.724903287503968,0.608736313108583,alto
01160,"Bosque, Isidro Fabela, Maria G. de García Ruiz, 1a Victoria",19.3877144769801,-99.2037312634892,CIUDAD DE MEXICO,ALVARO OBREGON,0.819737542948447,0.525750079484795,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.249139451110307,8401,0.797913138297607,0.0856248112218514,0.0028497931440137,0.248760961164873,0.134792606750088,0.562518580722857,0.33719712907629,0.148981514936123,0.763194708457911,0.738382720636499,0.716965682270377,0.532923468571136,0.830614699552923,0.93661966675353,0.373115299059264,0.156181710301824,0.156181710301824,0.583057960505861,0.728601213847555,0.466588002940637,alto
01170,Abraham M. González,19.3864081065766,-99.2054716286231,CIUDAD DE MEXICO,ALVARO OBREGON,0.819321029501163,0.495477608252075,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.263882977921877,891,0.797102495617206,0.0861107332460538,0.0029362670609504,0.250284734345113,0.133310645102386,0.561221634989249,0.299635980817759,0.116896912386468,0.768041851300543,0.70287363147861,0.69123452758006,0.471639450125069,0.814717256152354,0.918896380965489,0.366983297629146,0.167042332495908,0.167042332495908,0.604820669396957,0.732751581905082,0.499225182399086,alto
01180,"Carola, 8 de Agosto, San Pedro de los Pinos",19.3889845819933,-99.1928900199527,CIUDAD DE MEXICO,ALVARO OBREGON,0.820101095802989,0.418742402923573,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.174487281381221,20243,0.798621042742163,0.0815142642257745,0.0024531076798573,0.246395931618197,0.129914628240222,0.562245841023286,0.213809249741975,0.0559815451519146,0.816597597497049,0.915073450382921,0.923412593910234,0.85366385620212,0.907521306826089,0.980131400106292,0.337033714238744,0.115679184849887,0.115679184849887,0.41310160014204,0.712273989142152,0.239588886638195,medio
01200,Arturo Martínez,19.3867273424591,-99.2172078348511,CIUDAD DE MEXICO,ALVARO OBREGON,0.820226746344082,0.554262962101717,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.263636740001377,2201,0.798865780504205,0.0905087165774044,0.0033544299061384,0.251253534311171,0.141289531020568,0.563534802193709,0.374539641052983,0.187584859208164,0.747821243741362,0.720764274655556,0.702521561483238,0.50485672437936,0.818974913766097,0.929125986863213,0.377262016990442,0.164176611715672,0.164176611715672,0.560238321265051,0.734643130221836,0.427237339739508,alto
01210,Santa Fe,19.3831362547647,-99.2410267747092,CIUDAD DE MEXICO,ALVARO OBREGON,0.82023890069765,0.534530862299561,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.254394050692222,6089,0.798889456321005,0.0996479442258591,0.0044097584268205,0.25847906848113,0.152195738650562,0.568369418605458,0.348341492347768,0.155707403468313,0.779293678966033,0.757047883079295,0.731011766249381,0.569127249418697,0.851107865660063,0.927630556885691,0.329412205634072,0.170593545353511,0.170593545353511,0.292007677232774,0.73585362226887,0.115876963817845,medio
01219,Lomas de Santa Fe,19.3869561419237,-99.2405974232663,CIUDAD DE MEXICO,ALVARO OBREGON,0.820921152038656,0.527075800843541,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.239679822294488,343,0.800218995990998,0.0975084225097739,0.0040986902662979,0.254471689689513,0.152487813954164,0.568393116194701,0.338411184977943,0.138182298696519,0.828775691231577,0.910814559927502,0.868552929071084,0.852777598018451,0.942761940289811,0.985566070571077,0.378120359031759,0.149052001835828,0.149052001835828,0.436691837312446,0.705466476687369,0.270317254011532,alto
01220,"Bonanza, Cuevitas, El Cuernito, Mártires de Tacubaya, Zenón Delgado, La Estrella",19.3892341008909,-99.2284845956619,CIUDAD DE MEXICO,ALVARO OBREGON,0.820067039333812,0.505726915871582,0.882211066334285,0.828115951531311,0.927730530588016,0.686060114293017,0.91100865768117,0.237952131579311,11197,0.798554715192223,0.0936278291041797,0.003648465522952,0.251673982871733,0.147717728069345,0.566550499535552,0.31187659199759,0.11933083847633,0.815103705613568,0.821826131512661,0.787204405783505,0.677894724315471,0.889566312460361,0.960929856567669,0.376196600828908,0.148435348519181,0.148435348519181,0.514705133748351,0.708837704211871,0.373740523582141,alto
